Longitude, Latitude [Deg], Br[G]
         0  0.0000000000E+00  2  0  1
     180     180
Longitude Latitude Br
  2.2514747351E+00 -1.5446163880E+00 -8.5959067663E+00
  2.2863813201E+00 -1.5446163880E+00 -8.5900332520E+00
  2.3212879052E+00 -1.5446163880E+00 -8.5829983450E+00
  2.3561944902E+00 -1.5446163880E+00 -8.5741515593E+00
  2.3911010752E+00 -1.5446163880E+00 -8.5650453448E+00
  2.4260076603E+00 -1.5446163880E+00 -8.5550417306E+00
  2.4609142453E+00 -1.5446163880E+00 -8.5423557821E+00
  2.4958208304E+00 -1.5446163880E+00 -8.5292019195E+00
  2.5307274154E+00 -1.5446163880E+00 -8.5157471077E+00
  2.5656340004E+00 -1.5446163880E+00 -8.5020106346E+00
  2.6005405855E+00 -1.5446163880E+00 -8.4880113464E+00
  2.6354471705E+00 -1.5446163880E+00 -8.4737697087E+00
  2.6703537556E+00 -1.5446163880E+00 -8.4593078068E+00
  2.7052603406E+00 -1.5446163880E+00 -8.4446458121E+00
  2.7401669256E+00 -1.5446163880E+00 -8.4298069877E+00
  2.7750735107E+00 -1.5446163880E+00 -8.4148141550E+00
  2.8099800957E+00 -1.5446163880E+00 -8.3996919024E+00
  2.8448866808E+00 -1.5446163880E+00 -8.3844637876E+00
  2.8797932658E+00 -1.5446163880E+00 -8.3691542516E+00
  2.9146998508E+00 -1.5446163880E+00 -8.3537886189E+00
  2.9496064359E+00 -1.5446163880E+00 -8.3383926558E+00
  2.9845130209E+00 -1.5446163880E+00 -8.3229915394E+00
  3.0194196060E+00 -1.5446163880E+00 -8.3076110359E+00
  3.0543261910E+00 -1.5446163880E+00 -8.2922786784E+00
  3.0892327760E+00 -1.5446163880E+00 -8.2770190552E+00
  3.1241393611E+00 -1.5446163880E+00 -8.2618586687E+00
  3.1590459461E+00 -1.5446163880E+00 -8.2459169039E+00
  3.1939525311E+00 -1.5446163880E+00 -8.2274154519E+00
  3.2288591162E+00 -1.5446163880E+00 -8.2090968662E+00
  3.2637657012E+00 -1.5446163880E+00 -8.1909900050E+00
  3.2986722863E+00 -1.5446163880E+00 -8.1731241682E+00
  3.3335788713E+00 -1.5446163880E+00 -8.1555288027E+00
  3.3684854563E+00 -1.5446163880E+00 -8.1382321779E+00
  3.4033920414E+00 -1.5446163880E+00 -8.1212613850E+00
  3.4382986264E+00 -1.5446163880E+00 -8.1046439570E+00
  3.4732052115E+00 -1.5446163880E+00 -8.0884071325E+00
  3.5081117965E+00 -1.5446163880E+00 -8.0725759416E+00
  3.5430183815E+00 -1.5446163880E+00 -8.0571754141E+00
  3.5779249666E+00 -1.5446163880E+00 -8.0422296968E+00
  3.6128315516E+00 -1.5446163880E+00 -8.0277622000E+00
  3.6477381367E+00 -1.5446163880E+00 -8.0137950090E+00
  3.6826447217E+00 -1.5446163880E+00 -8.0003493259E+00
  3.7175513067E+00 -1.5446163880E+00 -7.9874454689E+00
  3.7524578918E+00 -1.5446163880E+00 -7.9751024316E+00
  3.7873644768E+00 -1.5446163880E+00 -7.9633384711E+00
  3.8222710619E+00 -1.5446163880E+00 -7.9521690471E+00
  3.8571776469E+00 -1.5446163880E+00 -7.9416109444E+00
  3.8920842319E+00 -1.5446163880E+00 -7.9309056063E+00
  3.9269908170E+00 -1.5446163880E+00 -7.9194128534E+00
  3.9618974020E+00 -1.5446163880E+00 -7.9086364006E+00
  3.9968039871E+00 -1.5446163880E+00 -7.8982406986E+00
  4.0317105721E+00 -1.5446163880E+00 -7.8872821156E+00
  4.0666171571E+00 -1.5446163880E+00 -7.8769619453E+00
  4.1015237422E+00 -1.5446163880E+00 -7.8673723571E+00
  4.1364303272E+00 -1.5446163880E+00 -7.8585217432E+00
  4.1713369123E+00 -1.5446163880E+00 -7.8504189379E+00
  4.2062434973E+00 -1.5446163880E+00 -7.8430683583E+00
  4.2411500823E+00 -1.5446163880E+00 -7.8364764826E+00
  4.2760566674E+00 -1.5446163880E+00 -7.8306459611E+00
  4.3109632524E+00 -1.5446163880E+00 -7.8255782661E+00
  4.3458698375E+00 -1.5446163880E+00 -7.8212753118E+00
  4.3807764225E+00 -1.5446163880E+00 -7.8177345951E+00
  4.4156830075E+00 -1.5446163880E+00 -7.8149553799E+00
  4.4505895926E+00 -1.5446163880E+00 -7.8129325128E+00
  4.4854961776E+00 -1.5446163880E+00 -7.8116630493E+00
  4.5204027627E+00 -1.5446163880E+00 -7.8111393330E+00
  4.5553093477E+00 -1.5446163880E+00 -7.8113553273E+00
  4.5902159327E+00 -1.5446163880E+00 -7.8123035232E+00
  4.6251225178E+00 -1.5446163880E+00 -7.8139722892E+00
  4.6600291028E+00 -1.5446163880E+00 -7.8163524965E+00
  4.6949356879E+00 -1.5446163880E+00 -7.8194323664E+00
  4.7298422729E+00 -1.5446163880E+00 -7.8225879153E+00
  4.7647488579E+00 -1.5446163880E+00 -7.8245881081E+00
  4.7996554430E+00 -1.5446163880E+00 -7.8272507129E+00
  4.8345620280E+00 -1.5446163880E+00 -7.8305630675E+00
  4.8694686131E+00 -1.5446163880E+00 -7.8345107428E+00
  4.9043751981E+00 -1.5446163880E+00 -7.8390803405E+00
  4.9392817831E+00 -1.5446163880E+00 -7.8442558117E+00
  4.9741883682E+00 -1.5446163880E+00 -7.8500227275E+00
  5.0090949532E+00 -1.5446163880E+00 -7.8563653337E+00
  5.0440015383E+00 -1.5446163880E+00 -7.8632668454E+00
  5.0789081233E+00 -1.5446163880E+00 -7.8707112140E+00
  5.1138147083E+00 -1.5446163880E+00 -7.8786812130E+00
  5.1487212934E+00 -1.5446163880E+00 -7.8871600575E+00
  5.1836278784E+00 -1.5446163880E+00 -7.8961311099E+00
  5.2185344635E+00 -1.5446163880E+00 -7.9055771436E+00
  5.2534410485E+00 -1.5446163880E+00 -7.9154803433E+00
  5.2883476335E+00 -1.5446163880E+00 -7.9258249547E+00
  5.3232542186E+00 -1.5446163880E+00 -7.9365922788E+00
