MagnetogramType = NSO-GONG Hourly; InstrumentName = GONG; InputLatGrid = sin(lat); OutputLatGrid = sin(lat); MagUnit = Gauss; InputMapResolution = 360,180; MagnetogramDate = 2021-01-17T13:14:00; CentralMeridianLong = 2239.494444; InputFile = "202101171314.fits;ASCIIFileCreationDate = 2022-11-17T15:04:06
95.5 -85.72843556204816 -2.83464 
96.5 -85.72843556204816 -2.8345401 
97.5 -85.72843556204816 -2.8344274 
98.5 -85.72843556204816 -2.8343024 
99.5 -85.72843556204816 -2.8341646 
100.5 -85.72843556204816 -2.8340144 
101.5 -85.72843556204816 -2.8338516 
102.5 -85.72843556204816 -2.8336763 
103.5 -85.72843556204816 -2.8334885 
104.5 -85.72843556204816 -2.8332882 
105.5 -85.72843556204816 -2.8330753 
106.5 -85.72843556204816 -2.83285 
107.5 -85.72843556204816 -2.8326123 
108.5 -85.72843556204816 -2.832362 
109.5 -85.72843556204816 -2.8320994 
110.5 -85.72843556204816 -2.8318248 
111.5 -85.72843556204816 -2.8315375 
112.5 -85.72843556204816 -2.8312383 
113.5 -85.72843556204816 -2.8309267 
114.5 -85.72843556204816 -2.8306031 
115.5 -85.72843556204816 -2.8302674 
116.5 -85.72843556204816 -2.82992 
117.5 -85.72843556204816 -2.8295605 
118.5 -85.72843556204816 -2.829189 
119.5 -85.72843556204816 -2.8288062 
120.5 -85.72843556204816 -2.8284116 
121.5 -85.72843556204816 -2.8280056 
122.5 -85.72843556204816 -2.8275878 
123.5 -85.72843556204816 -2.8271592 
