Longitude, Latitude [Deg], Br[G]
         0  0.0000000000E+00  2  0  1
     360     180
Longitude Latitude Br
  4.8500000000E+01 -8.5728435562E+01 -8.5181322454E+00
  4.9500000000E+01 -8.5728435562E+01 -8.5197277226E+00
  5.0500000000E+01 -8.5728435562E+01 -8.5213031740E+00
  5.1500000000E+01 -8.5728435562E+01 -8.5228583010E+00
  5.2500000000E+01 -8.5728435562E+01 -8.5243934022E+00
  5.3500000000E+01 -8.5728435562E+01 -8.5259066845E+00
  5.4500000000E+01 -8.5728435562E+01 -8.5273996422E+00
  5.5500000000E+01 -8.5728435562E+01 -8.5288689875E+00
  5.6500000000E+01 -8.5728435562E+01 -8.5303162150E+00
  5.7500000000E+01 -8.5728435562E+01 -8.5317407268E+00
  5.8500000000E+01 -8.5728435562E+01 -8.5331410285E+00
  5.9500000000E+01 -8.5728435562E+01 -8.5345180167E+00
  6.0500000000E+01 -8.5728435562E+01 -8.5358695992E+00
  6.1500000000E+01 -8.5728435562E+01 -8.5371966728E+00
  6.2500000000E+01 -8.5728435562E+01 -8.5384980417E+00
  6.3500000000E+01 -8.5728435562E+01 -8.5397728094E+00
  6.4500000000E+01 -8.5728435562E+01 -8.5410218725E+00
  6.5500000000E+01 -8.5728435562E+01 -8.5422431388E+00
  6.6500000000E+01 -8.5728435562E+01 -8.5434375050E+00
  6.7500000000E+01 -8.5728435562E+01 -8.5446043732E+00
  6.8500000000E+01 -8.5728435562E+01 -8.5457422491E+00
  6.9500000000E+01 -8.5728435562E+01 -8.5468520293E+00
  7.0500000000E+01 -8.5728435562E+01 -8.5479310237E+00
  7.1500000000E+01 -8.5728435562E+01 -8.5489810258E+00
  7.2500000000E+01 -8.5728435562E+01 -8.5500014378E+00
  7.3500000000E+01 -8.5728435562E+01 -8.5509904662E+00
  7.4500000000E+01 -8.5728435562E+01 -8.5519499045E+00
  7.5500000000E+01 -8.5728435562E+01 -8.5528761659E+00
  7.6500000000E+01 -8.5728435562E+01 -8.5537719406E+00
  7.7500000000E+01 -8.5728435562E+01 -8.5546351361E+00
  7.8500000000E+01 -8.5728435562E+01 -8.5554651549E+00
  7.9500000000E+01 -8.5728435562E+01 -8.5562616979E+00
  8.0500000000E+01 -8.5728435562E+01 -8.5570256618E+00
  8.1500000000E+01 -8.5728435562E+01 -8.5577561500E+00
  8.2500000000E+01 -8.5728435562E+01 -8.5584519669E+00
  8.3500000000E+01 -8.5728435562E+01 -8.5591128137E+00
  8.4500000000E+01 -8.5728435562E+01 -8.5597401847E+00
  8.5500000000E+01 -8.5728435562E+01 -8.5603307922E+00
  8.6500000000E+01 -8.5728435562E+01 -8.5608867284E+00
  8.7500000000E+01 -8.5728435562E+01 -8.5614067978E+00
  8.8500000000E+01 -8.5728435562E+01 -8.5618907014E+00
  8.9500000000E+01 -8.5728435562E+01 -8.5623375426E+00
  9.0500000000E+01 -8.5728435562E+01 -8.5627470225E+00
  9.1500000000E+01 -8.5728435562E+01 -8.5626346397E+00
  9.2500000000E+01 -8.5728435562E+01 -8.5624848955E+00
  9.3500000000E+01 -8.5728435562E+01 -8.5622974912E+00
  9.4500000000E+01 -8.5728435562E+01 -8.5620739212E+00
  9.5500000000E+01 -8.5728435562E+01 -8.5618114954E+00
  9.6500000000E+01 -8.5728435562E+01 -8.5615129039E+00
  9.7500000000E+01 -8.5728435562E+01 -8.5611760543E+00
  9.8500000000E+01 -8.5728435562E+01 -8.5608024413E+00
  9.9500000000E+01 -8.5728435562E+01 -8.5603905703E+00
  1.0050000000E+02 -8.5728435562E+01 -8.5599416369E+00
  1.0150000000E+02 -8.5728435562E+01 -8.5594550432E+00
  1.0250000000E+02 -8.5728435562E+01 -8.5589310883E+00
  1.0350000000E+02 -8.5728435562E+01 -8.5583697721E+00
  1.0450000000E+02 -8.5728435562E+01 -8.5577710945E+00
  1.0550000000E+02 -8.5728435562E+01 -8.5571347568E+00
  1.0650000000E+02 -8.5728435562E+01 -8.5564613567E+00
  1.0750000000E+02 -8.5728435562E+01 -8.5557508941E+00
  1.0850000000E+02 -8.5728435562E+01 -8.5550027714E+00
  1.0950000000E+02 -8.5728435562E+01 -8.5542178851E+00
  1.1050000000E+02 -8.5728435562E+01 -8.5533971320E+00
  1.1150000000E+02 -8.5728435562E+01 -8.5525384197E+00
  1.1250000000E+02 -8.5728435562E+01 -8.5516441396E+00
  1.1350000000E+02 -8.5728435562E+01 -8.5507127970E+00
  1.1450000000E+02 -8.5728435562E+01 -8.5497455876E+00
  1.1550000000E+02 -8.5728435562E+01 -8.5487422124E+00
  1.1650000000E+02 -8.5728435562E+01 -8.5477038670E+00
  1.1750000000E+02 -8.5728435562E+01 -8.5466293559E+00
  1.1850000000E+02 -8.5728435562E+01 -8.5455189780E+00
  1.1950000000E+02 -8.5728435562E+01 -8.5443748254E+00
  1.2050000000E+02 -8.5728435562E+01 -8.5431954037E+00
